Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
69,Solana,SOL,"Apr 28, 2022",$98.38 ,$100.40 ,$96.69 ,$98.19 ,"$1,307,131,609 ","$32,764,948,307 "
70,Solana,SOL,"Apr 27, 2022",$95.79 ,$100.54 ,$95.28 ,$98.38 ,"$1,253,566,599 ","$32,829,333,027 "
71,Solana,SOL,"Apr 26, 2022",$101.22 ,$101.74 ,$95.18 ,$95.78 ,"$1,301,074,534 ","$31,962,849,255 "
72,Solana,SOL,"Apr 25, 2022",$99.24 ,$101.44 ,$94.76 ,$101.25 ,"$1,538,486,689 ","$33,772,914,316 "
73,Solana,SOL,"Apr 24, 2022",$100.73 ,$102.22 ,$99.01 ,$99.24 ,"$818,266,008 ","$33,101,881,731 "
74,Solana,SOL,"Apr 23, 2022",$100.62 ,$102.77 ,$98.78 ,$100.74 ,"$823,252,482 ","$33,605,175,877 "
75,Solana,SOL,"Apr 22, 2022",$101.76 ,$103.50 ,$99.58 ,$100.61 ,"$1,274,793,594 ","$33,561,079,113 "
76,Solana,SOL,"Apr 21, 2022",$105.50 ,$109.77 ,$100.77 ,$101.78 ,"$1,838,571,747 ","$33,935,858,708 "
77,Solana,SOL,"Apr 20, 2022",$108.60 ,$110.72 ,$104.77 ,$105.50 ,"$1,761,531,528 ","$35,176,593,429 "
78,Solana,SOL,"Apr 19, 2022",$102.20 ,$108.58 ,$101.30 ,$108.58 ,"$1,711,909,607 ","$36,205,329,782 "
79,Solana,SOL,"Apr 18, 2022",$100.41 ,$102.52 ,$95.24 ,$102.16 ,"$1,846,133,932 ","$34,030,862,759 "
80,Solana,SOL,"Apr 17, 2022",$102.25 ,$105.29 ,$99.96 ,$100.41 ,"$1,057,908,299 ","$33,448,341,308 "
81,Solana,SOL,"Apr 16, 2022",$101.30 ,$103.27 ,$100.96 ,$102.26 ,"$774,939,305 ","$34,063,156,158 "
82,Solana,SOL,"Apr 15, 2022",$100.71 ,$102.67 ,$100.10 ,$101.31 ,"$1,050,639,351 ","$33,733,487,009 "
83,Solana,SOL,"Apr 14, 2022",$104.94 ,$107.33 ,$99.26 ,$100.71 ,"$1,686,576,071 ","$33,037,638,422 "
84,Solana,SOL,"Apr 13, 2022",$103.28 ,$105.68 ,$100.49 ,$105.00 ,"$1,675,840,412 ","$34,446,417,330 "
85,Solana,SOL,"Apr 12, 2022",$99.38 ,$109.12 ,$98.94 ,$103.31 ,"$2,317,008,207 ","$33,876,639,836 "
86,Solana,SOL,"Apr 11, 2022",$111.70 ,$111.83 ,$98.67 ,$99.34 ,"$2,272,498,194 ","$32,578,478,203 "
87,Solana,SOL,"Apr 10, 2022",$112.97 ,$115.81 ,$110.08 ,$111.74 ,"$1,280,232,450 ","$36,612,845,093 "
88,Solana,SOL,"Apr 09, 2022",$109.80 ,$113.11 ,$108.63 ,$112.97 ,"$1,202,250,516 ","$37,016,030,859 "
89,Solana,SOL,"Apr 08, 2022",$118.82 ,$122.25 ,$108.54 ,$109.80 ,"$2,376,864,565 ","$35,976,774,331 "
90,Solana,SOL,"Apr 07, 2022",$112.94 ,$119.76 ,$111.96 ,$118.80 ,"$2,431,083,313 ","$38,753,887,597 "
91,Solana,SOL,"Apr 06, 2022",$126.86 ,$127.28 ,$112.77 ,$112.88 ,"$3,281,009,143 ","$36,769,287,681 "
92,Solana,SOL,"Apr 05, 2022",$132.39 ,$136.18 ,$126.56 ,$126.86 ,"$2,239,922,210 ","$41,322,645,994 "
93,Solana,SOL,"Apr 04, 2022",$136.76 ,$137.63 ,$126.87 ,$132.41 ,"$2,828,117,206 ","$43,113,299,130 "
94,Solana,SOL,"Apr 03, 2022",$132.24 ,$140.26 ,$131.23 ,$136.78 ,"$2,585,967,812 ","$44,563,278,264 "
95,Solana,SOL,"Apr 02, 2022",$134.45 ,$143.02 ,$132.14 ,$132.20 ,"$3,394,186,456 ","$43,095,052,896 "
96,Solana,SOL,"Apr 01, 2022",$122.74 ,$137.56 ,$118.79 ,$134.43 ,"$4,434,807,484 ","$43,780,520,759 "
97,Solana,SOL,"Mar 31, 2022",$120.68 ,$128.93 ,$120.20 ,$122.66 ,"$4,115,229,587 ","$39,896,242,152 "
98,Solana,SOL,"Mar 30, 2022",$111.69 ,$124.61 ,$107.77 ,$120.70 ,"$3,908,170,428 ","$39,256,767,639 "
99,Solana,SOL,"Mar 29, 2022",$106.33 ,$115.28 ,$106.00 ,$111.71 ,"$3,052,274,877 ","$36,318,284,407 "
100,Solana,SOL,"Mar 28, 2022",$107.08 ,$113.18 ,$105.48 ,$106.47 ,"$2,877,146,388 ","$34,611,838,729 "
101,Solana,SOL,"Mar 27, 2022",$101.77 ,$107.30 ,$99.27 ,$107.08 ,"$1,572,329,892 ","$34,798,921,341 "
102,Solana,SOL,"Mar 26, 2022",$98.67 ,$103.19 ,$97.83 ,$101.76 ,"$1,282,869,612 ","$33,066,454,394 "
103,Solana,SOL,"Mar 25, 2022",$102.24 ,$104.58 ,$97.32 ,$98.66 ,"$2,175,497,007 ","$32,057,254,186 "
104,Solana,SOL,"Mar 24, 2022",$95.02 ,$103.46 ,$94.07 ,$102.22 ,"$3,601,646,600 ","$32,993,555,966 "
105,Solana,SOL,"Mar 23, 2022",$90.51 ,$96.05 ,$89.81 ,$95.10 ,"$2,099,467,745 ","$30,479,406,013 "
106,Solana,SOL,"Mar 22, 2022",$88.74 ,$93.77 ,$88.18 ,$90.51 ,"$1,879,747,152 ","$29,008,521,074 "
107,Solana,SOL,"Mar 21, 2022",$88.61 ,$91.01 ,$87.21 ,$88.76 ,"$1,598,537,312 ","$28,434,031,533 "
108,Solana,SOL,"Mar 20, 2022",$92.41 ,$92.44 ,$88.15 ,$88.61 ,"$1,286,133,603 ","$28,388,486,844 "
109,Solana,SOL,"Mar 19, 2022",$89.82 ,$94.36 ,$89.39 ,$92.42 ,"$1,951,674,158 ","$29,606,972,591 "
110,Solana,SOL,"Mar 18, 2022",$87.87 ,$91.85 ,$84.64 ,$89.82 ,"$2,745,357,460 ","$28,763,415,973 "
111,Solana,SOL,"Mar 17, 2022",$87.86 ,$90.76 ,$86.75 ,$87.88 ,"$2,440,062,581 ","$28,140,573,242 "
112,Solana,SOL,"Mar 16, 2022",$82.95 ,$87.90 ,$81.65 ,$87.90 ,"$2,370,877,301 ","$28,109,416,349 "
113,Solana,SOL,"Mar 15, 2022",$81.17 ,$85.52 ,$79.07 ,$82.96 ,"$1,627,848,455 ","$26,801,674,175 "
114,Solana,SOL,"Mar 14, 2022",$78.93 ,$82.10 ,$78.27 ,$81.17 ,"$1,676,601,058 ","$26,226,064,257 "
115,Solana,SOL,"Mar 13, 2022",$81.53 ,$82.88 ,$78.00 ,$78.94 ,"$1,316,842,580 ","$25,492,592,997 "
116,Solana,SOL,"Mar 12, 2022",$80.75 ,$82.66 ,$80.72 ,$81.55 ,"$1,036,290,480 ","$26,068,188,198 "
117,Solana,SOL,"Mar 11, 2022",$82.94 ,$84.05 ,$80.28 ,$80.74 ,"$1,852,734,626 ","$26,076,896,380 "
118,Solana,SOL,"Mar 10, 2022",$88.19 ,$88.45 ,$81.02 ,$82.94 ,"$2,196,400,279 ","$26,486,185,022 "
119,Solana,SOL,"Mar 09, 2022",$82.28 ,$89.48 ,$82.21 ,$88.20 ,"$2,624,860,794 ","$28,458,658,755 "
120,Solana,SOL,"Mar 08, 2022",$82.11 ,$84.78 ,$81.54 ,$82.25 ,"$2,112,765,959 ","$26,160,615,239 "
121,Solana,SOL,"Mar 07, 2022",$84.55 ,$86.48 ,$80.32 ,$82.13 ,"$2,375,648,176 ","$26,381,762,346 "
122,Solana,SOL,"Mar 06, 2022",$89.65 ,$89.87 ,$84.33 ,$84.54 ,"$1,467,561,782 ","$27,115,147,514 "
123,Solana,SOL,"Mar 05, 2022",$88.29 ,$91.04 ,$86.29 ,$89.65 ,"$1,437,161,887 ","$28,456,383,337 "
124,Solana,SOL,"Mar 04, 2022",$95.57 ,$95.71 ,$87.55 ,$88.25 ,"$2,592,829,728 ","$27,999,802,538 "
125,Solana,SOL,"Mar 03, 2022",$100.65 ,$101.43 ,$94.38 ,$95.54 ,"$2,309,311,748 ","$30,629,630,123 "
126,Solana,SOL,"Mar 02, 2022",$98.65 ,$105.98 ,$97.11 ,$100.65 ,"$3,800,592,927 ","$32,268,084,489 "
127,Solana,SOL,"Mar 01, 2022",$99.54 ,$101.56 ,$94.89 ,$98.65 ,"$3,225,742,519 ","$31,614,901,348 "
128,Solana,SOL,"Feb 28, 2022",$85.50 ,$101.04 ,$84.58 ,$99.52 ,"$3,457,872,746 ","$31,852,723,642 "
129,Solana,SOL,"Feb 27, 2022",$90.12 ,$91.99 ,$84.49 ,$85.52 ,"$2,012,522,473 ","$27,371,485,041 "
130,Solana,SOL,"Feb 26, 2022",$92.61 ,$94.60 ,$89.76 ,$90.14 ,"$1,721,041,901 ","$28,838,878,173 "
131,Solana,SOL,"Feb 25, 2022",$89.23 ,$94.78 ,$87.28 ,$92.60 ,"$3,069,242,551 ","$29,625,083,071 "
132,Solana,SOL,"Feb 24, 2022",$84.86 ,$92.28 ,$76.86 ,$89.19 ,"$5,253,578,948 ","$28,536,069,022 "
133,Solana,SOL,"Feb 23, 2022",$86.47 ,$92.74 ,$84.90 ,$84.90 ,"$2,293,962,445 ","$27,151,072,802 "
134,Solana,SOL,"Feb 22, 2022",$83.11 ,$87.16 ,$81.20 ,$86.47 ,"$2,046,554,018 ","$27,650,979,801 "
135,Solana,SOL,"Feb 21, 2022",$90.88 ,$95.90 ,$83.12 ,$83.12 ,"$2,892,900,595 ","$26,582,210,816 "
136,Solana,SOL,"Feb 20, 2022",$91.44 ,$93.32 ,$86.02 ,$90.90 ,"$1,912,980,153 ","$29,057,463,086 "
137,Solana,SOL,"Feb 19, 2022",$90.05 ,$92.54 ,$88.95 ,$91.50 ,"$1,084,605,729 ","$29,247,783,191 "
138,Solana,SOL,"Feb 18, 2022",$93.46 ,$96.20 ,$89.71 ,$90.07 ,"$1,669,246,812 ","$28,790,343,297 "
139,Solana,SOL,"Feb 17, 2022",$101.90 ,$102.63 ,$92.68 ,$93.41 ,"$1,872,498,133 ","$29,847,059,424 "
140,Solana,SOL,"Feb 16, 2022",$104.93 ,$105.35 ,$98.58 ,$101.93 ,"$1,908,954,820 ","$32,541,672,670 "
141,Solana,SOL,"Feb 15, 2022",$96.44 ,$105.29 ,$96.43 ,$104.87 ,"$2,134,576,044 ","$33,474,369,632 "
142,Solana,SOL,"Feb 14, 2022",$93.19 ,$97.74 ,$91.21 ,$96.43 ,"$1,787,236,369 ","$30,767,492,262 "
143,Solana,SOL,"Feb 13, 2022",$95.89 ,$97.21 ,$91.82 ,$93.24 ,"$1,150,014,559 ","$29,629,765,454 "
144,Solana,SOL,"Feb 12, 2022",$96.40 ,$99.55 ,$93.50 ,$95.92 ,"$1,722,515,979 ","$30,479,311,443 "
145,Solana,SOL,"Feb 11, 2022",$106.23 ,$107.85 ,$95.60 ,$96.38 ,"$2,244,853,464 ","$30,613,785,508 "
146,Solana,SOL,"Feb 10, 2022",$114.02 ,$114.79 ,$106.20 ,$106.20 ,"$2,534,257,400 ","$33,715,605,751 "
147,Solana,SOL,"Feb 09, 2022",$113.53 ,$116.83 ,$109.98 ,$114.02 ,"$1,844,036,035 ","$36,197,167,003 "
148,Solana,SOL,"Feb 08, 2022",$117.41 ,$119.97 ,$110.24 ,$113.60 ,"$2,670,414,753 ","$36,047,442,125 "
149,Solana,SOL,"Feb 07, 2022",$115.28 ,$121.55 ,$113.14 ,$117.36 ,"$2,501,444,983 ","$37,240,734,079 "
150,Solana,SOL,"Feb 06, 2022",$113.90 ,$115.87 ,$112.19 ,$115.30 ,"$1,488,437,091 ","$36,532,195,892 "
151,Solana,SOL,"Feb 05, 2022",$112.21 ,$118.21 ,$110.53 ,$113.89 ,"$2,337,469,324 ","$35,923,375,177 "
152,Solana,SOL,"Feb 04, 2022",$101.34 ,$112.41 ,$100.68 ,$112.17 ,"$3,121,470,028 ","$35,380,926,661 "
153,Solana,SOL,"Feb 03, 2022",$101.83 ,$102.67 ,$94.64 ,$101.46 ,"$2,618,951,519 ","$31,947,820,325 "
