Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
82,Tether,USDT,"Apr 15, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$42,988,969,647 ","$82,714,140,171 "
83,Tether,USDT,"Apr 14, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$52,908,937,427 ","$82,659,371,723 "
84,Tether,USDT,"Apr 13, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$57,894,656,914 ","$82,636,519,751 "
85,Tether,USDT,"Apr 12, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$68,489,224,153 ","$82,592,281,333 "
86,Tether,USDT,"Apr 11, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$73,914,574,528 ","$82,563,674,915 "
87,Tether,USDT,"Apr 10, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$43,341,611,560 ","$82,559,031,739 "
88,Tether,USDT,"Apr 09, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$40,069,848,333 ","$82,541,639,609 "
89,Tether,USDT,"Apr 08, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$64,297,486,911 ","$82,515,647,935 "
90,Tether,USDT,"Apr 07, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$61,906,251,582 ","$82,463,568,990 "
91,Tether,USDT,"Apr 06, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$92,098,510,461 ","$82,436,692,723 "
92,Tether,USDT,"Apr 05, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$71,594,982,811 ","$82,403,954,415 "
93,Tether,USDT,"Apr 04, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$79,820,905,659 ","$82,350,687,395 "
94,Tether,USDT,"Apr 03, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$67,183,096,448 ","$82,324,402,978 "
95,Tether,USDT,"Apr 02, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$79,916,606,735 ","$82,111,176,334 "
96,Tether,USDT,"Apr 01, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$92,250,507,858 ","$82,008,115,264 "
97,Tether,USDT,"Mar 31, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$90,489,848,043 ","$81,958,643,217 "
98,Tether,USDT,"Mar 30, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$79,713,341,087 ","$81,694,472,103 "
99,Tether,USDT,"Mar 29, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$80,447,404,974 ","$81,576,423,460 "
100,Tether,USDT,"Mar 28, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$86,217,871,591 ","$81,408,280,832 "
101,Tether,USDT,"Mar 27, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$59,103,680,528 ","$81,362,292,668 "
102,Tether,USDT,"Mar 26, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$39,871,932,342 ","$81,342,084,336 "
103,Tether,USDT,"Mar 25, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$64,320,675,570 ","$80,991,583,551 "
104,Tether,USDT,"Mar 24, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$77,842,904,360 ","$80,933,303,632 "
105,Tether,USDT,"Mar 23, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$68,181,581,345 ","$80,857,795,209 "
106,Tether,USDT,"Mar 22, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$71,455,738,693 ","$80,782,526,608 "
107,Tether,USDT,"Mar 21, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$64,828,148,834 ","$80,809,353,322 "
108,Tether,USDT,"Mar 20, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$57,837,125,338 ","$80,781,817,395 "
109,Tether,USDT,"Mar 19, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$58,881,848,497 ","$80,454,326,018 "
110,Tether,USDT,"Mar 18, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$64,969,319,781 ","$80,464,642,699 "
111,Tether,USDT,"Mar 17, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$52,913,216,462 ","$80,161,745,462 "
112,Tether,USDT,"Mar 16, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$74,673,285,342 ","$80,125,518,666 "
113,Tether,USDT,"Mar 15, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$52,961,395,870 ","$80,108,424,576 "
114,Tether,USDT,"Mar 14, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$52,613,345,077 ","$80,099,251,911 "
115,Tether,USDT,"Mar 13, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$42,268,710,956 ","$80,088,619,803 "
116,Tether,USDT,"Mar 12, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$38,101,124,958 ","$80,069,194,735 "
117,Tether,USDT,"Mar 11, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$58,051,333,936 ","$80,063,697,722 "
118,Tether,USDT,"Mar 10, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$65,784,999,972 ","$80,078,959,353 "
